framework,path,compileSdkVersion,targetSdkVersion,minSdkVersion
android,repositories/googlesamples/android-PdfRendererBasic/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-PdfRendererBasic/kotlinApp/build.gradle,27,27,24
android,repositories/googlesamples/android-PdfRendererBasic/kotlinApp/Application/build.gradle,,,
android,repositories/googlesamples/android-NotificationChannels/build.gradle,,,
android,repositories/googlesamples/android-NotificationChannels/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-NotificationChannels/kotlinApp/build.gradle,,,
android,repositories/googlesamples/android-NotificationChannels/kotlinApp/Application/build.gradle,26,26,21
android,repositories/googlesamples/android-NfcProvisioning/build.gradle,,,
android,repositories/googlesamples/android-NfcProvisioning/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-NetworkConnect/build.gradle,,,
android,repositories/googlesamples/android-NetworkConnect/Application/build.gradle,27,27,11
android,repositories/googlesamples/android-NavigationDrawer/build.gradle,,,
android,repositories/googlesamples/android-NavigationDrawer/Application/build.gradle,27,27,21
android,repositories/googlesamples/android-NavigationDrawer/kotlinApp/build.gradle,27,27,21
android,repositories/googlesamples/android-NavigationDrawer/kotlinApp/Application/build.gradle,,,
android,repositories/googlesamples/android-MultiWindowPlayground/build.gradle,,,
android,repositories/googlesamples/android-MultiWindowPlayground/Application/build.gradle,24,24,24
android,repositories/googlesamples/android-MultiWindowPlayground/kotlinApp/build.gradle,,,
android,repositories/googlesamples/android-MultiWindowPlayground/kotlinApp/Application/build.gradle,27,27,24
android,repositories/googlesamples/android-MidiSynth/build.gradle,,,
android,repositories/googlesamples/android-MidiSynth/Application/build.gradle,27,27,23
android,repositories/googlesamples/android-MidiScope/build.gradle,,,
android,repositories/googlesamples/android-MidiScope/Application/build.gradle,27,27,23
android,repositories/googlesamples/android-MediaRouter/build.gradle,,,
android,repositories/googlesamples/android-MediaRouter/Application/build.gradle,27,27,17
android,repositories/googlesamples/android-MediaBrowserService/build.gradle,,,
android,repositories/googlesamples/android-MediaBrowserService/Application/build.gradle,27,27,19
android,repositories/googlesamples/android-LNotifications/build.gradle,,,
