framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,numberOfFiles,others
android,googlesamples/android-AppShortcuts,4,1,1,2,0,0,6,1,2,0,1,1,0,0,0,0,0,0,0,36,18
android,googlesamples/android-AppRestrictionSchema,9,1,1,2,0,0,18,1,3,0,1,1,0,0,0,0,0,0,0,47,11
android,googlesamples/android-AppRestrictions,4,1,1,2,0,0,12,1,3,0,1,2,0,0,0,0,0,0,0,38,12
android,googlesamples/android-AppRestrictionEnforcer,9,1,1,2,0,0,18,1,3,0,1,1,0,0,0,0,0,0,0,47,11
android,googlesamples/android-AdvancedImmersiveMode,10,1,1,2,0,0,16,1,3,0,1,2,0,0,0,0,0,0,0,46,10
android,googlesamples/android-ActiveNotifications,10,1,1,2,0,0,15,1,2,0,1,1,0,0,0,0,0,0,0,51,18
android,googlesamples/android-ActionBarCompat-Styled,2,1,1,2,0,0,21,1,3,0,1,2,0,0,0,0,0,0,0,103,70
android,googlesamples/android-ActionBarCompat-ListPopupMenu,4,1,1,2,0,0,14,1,3,0,1,2,0,0,0,0,0,0,0,42,14
android,googlesamples/android-ActionBarCompat-Basic,2,1,1,2,0,0,14,1,3,0,1,2,0,0,0,0,0,0,0,46,20
android,googlesamples/android-key-attestation,13,1,1,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,1,57,36
android,googlesamples/android-play-places,45,4,4,8,0,0,75,4,9,0,5,4,0,0,0,0,0,0,0,205,52
android,googlesamples/android-AccelerometerPlay,1,1,1,2,0,0,3,1,2,0,1,1,0,0,0,0,0,0,0,25,13
android,googlesamples/android-play-awareness,3,2,1,2,0,0,9,1,2,0,1,0,0,0,0,0,0,0,0,31,11
android,googlesamples/leanback-assistant,17,2,1,2,0,0,12,1,2,0,1,1,0,0,0,0,0,0,0,64,26
android,googlesamples/android-play-safetynet,12,3,2,3,0,0,14,2,6,0,4,1,0,0,0,0,0,0,1,64,20
android,googlesamples/account-transfer-api,7,2,1,2,0,0,7,1,2,0,1,0,0,0,0,0,0,0,0,33,11
android,googlesamples/android-SimpleMediaPlayer,4,2,1,2,0,0,5,1,3,0,1,0,0,0,0,0,0,0,0,32,14
android,googlesamples/android-fido,5,2,2,2,0,0,22,1,2,0,1,0,0,0,0,0,0,0,0,52,16
android,googlesamples/android-WearStandaloneGoogleSignIn,2,1,1,2,0,0,13,1,2,0,1,0,0,0,0,0,0,0,1,31,8
android,googlesamples/android-WearOAuth,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1
android,googlesamples/android-unsplash,16,2,1,2,0,0,19,1,2,0,1,0,0,0,0,0,0,0,0,54,11
android,googlesamples/android-codelab-watchface,5,2,1,6,0,0,20,1,2,0,1,0,0,0,0,0,0,0,0,52,15
android,googlesamples/android-OurStreets,26,2,1,2,0,0,22,1,2,0,1,1,0,0,0,0,0,0,0,71,14
android,googlesamples/android-WearCompanionLibrary,20,2,1,2,0,0,11,1,1,0,1,0,0,0,0,0,0,0,0,58,20
android,googlesamples/android-gcmnetworkmanager,2,2,1,2,0,0,7,1,2,0,1,0,0,0,0,0,0,0,0,28,11
android,googlesamples/identity-toolkit-android,3,2,3,2,0,0,39,0,1,0,1,1,0,0,0,0,0,0,0,106,55
android,googlesamples/android-WclDemoSample,14,2,1,4,0,0,39,1,1,0,1,0,1,0,0,0,0,0,0,113,50
android,googlesamples/attendee-checkin,45,1,2,2,0,0,34,1,2,0,1,0,3,0,0,0,0,0,0,134,44
android,googlesamples/android-play-games-in-motion,31,2,1,2,0,0,49,1,11,0,0,0,0,0,0,0,0,0,0,232,135
android,googlesamples/androidtv-daydream,13,0,0,2,0,0,14,0,2,0,1,0,0,0,0,0,0,0,0,37,6
android,googlesamples/androidtv-VisualGameController,5,2,1,1,0,0,8,1,2,0,1,0,1,0,0,0,0,0,0,42,21
android,googlesamples/androidtv-GameController,12,2,2,2,0,0,9,1,1,0,1,0,0,0,0,0,0,0,0,38,9
android,googlesamples/android-google-accounts,4,4,2,4,0,0,14,2,4,0,3,0,0,0,0,0,0,0,0,55,21
