framework,projeto,readability,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
AWS,aws-samples/aws-device-farm-sample-web-app-using-appium,0.00012836129462812096,2,2,2,2,24,3,12,9,0,0,0,0,2,0,1,4,0,4,4,3,4,0,0,0,0,4,0,130,19,46,31,14,67,0,0,0,28,35,27,8,0,0,0,0,0,3,3,3,2,0,0,1,0,0,0,2,77,5,5,5,4,2
AWS,aws-samples/aws-dms-cdc-sample,0.0,4,4,4,2,33,5,19,9,0,0,0,0,2,0,1,4,0,4,4,1,4,0,1,0,0,3,0,143,27,69,39,32,47,0,0,0,46,56,38,18,0,0,0,0,0,6,6,6,2,0,0,3,0,0,0,1,63,8,8,8,4,2
AWS,aws-samples/aws-dynamodb-examples,0.00020238637747146035,90,89,93,49,1248,231,926,75,0,0,0,0,63,186,93,342,0,342,156,82,342,0,10,101,0,231,0,7863,1506,5317,2223,3587,1072,0,0,0,3007,3647,1979,1668,0,0,0,0,0,176,174,181,68,0,0,80,0,0,0,1,1395,586,584,591,376,48
AWS,aws-samples/aws-dynamodb-mars-json-demo,0.18886253572575673,58,55,60,34,535,4,354,164,0,0,0,0,33,39,155,163,0,170,131,35,170,0,8,32,4,126,0,4788,381,2891,1270,1711,1543,0,0,0,1723,2148,1130,1018,0,0,0,0,0,127,117,140,73,0,0,50,0,0,0,30,1159,406,381,426,216,37
AWS,aws-samples/aws-glue-data-catalog-replication-utility,0.01305391161076841,51,51,54,16,551,39,386,118,0,0,0,0,16,6,0,99,0,99,92,23,98,0,0,0,0,98,0,2853,299,1974,841,1299,580,0,0,0,1216,1494,768,726,0,0,0,0,0,95,95,104,19,0,0,40,0,0,0,0,434,251,251,262,102,16
AWS,aws-samples/aws-greengrass-lambda-functions,0.11382670935285448,137,137,140,120,763,57,653,18,0,0,0,0,165,5,61,518,0,622,546,267,551,0,109,45,26,371,0,6474,1342,4870,2713,1820,264,0,0,0,2692,3494,2303,1191,0,0,0,0,0,263,263,267,169,0,0,78,0,0,0,75,369,741,741,748,575,157
AWS,aws-samples/aws-ingesting-click-logs-using-terraform,0.0009225386873533188,23,23,24,14,201,23,173,2,0,0,0,0,15,7,17,87,0,85,79,61,86,0,2,8,1,75,0,1116,216,826,358,439,77,0,0,0,506,643,345,298,0,0,0,0,0,46,46,46,18,0,0,10,0,0,0,0,89,128,128,129,94,11
AWS,aws-samples/aws-iotbot,0.46852298577626544,4,4,4,3,33,4,27,1,0,0,0,0,21,0,10,24,0,24,24,41,24,0,0,0,1,23,0,535,107,387,124,254,44,0,0,0,210,261,130,131,0,0,0,0,0,10,10,10,3,0,0,2,0,0,0,0,81,49,49,49,24,3
AWS,aws-samples/aws-java-sample,0.0,3,3,3,1,52,4,24,24,0,0,0,0,1,3,0,3,0,3,0,0,3,0,0,2,0,1,0,215,20,97,38,62,98,0,0,0,73,84,39,45,0,0,0,0,0,5,5,5,3,0,0,2,0,0,0,1,1,9,9,9,5,1
AWS,aws-samples/aws-kms-pq-tls-example,0.024248970051606495,4,4,4,3,37,2,23,11,0,0,0,0,3,3,3,10,0,10,1,0,4,0,0,0,0,4,0,295,25,136,83,78,134,0,0,0,84,94,74,20,0,0,0,0,0,5,5,5,3,0,0,2,0,0,0,3,144,13,13,13,10,3
