,,Buse Readability,Scalabrino Readability,FANIN,FANOUT,CC,CCM,CCS,EC,KNTS,NPATH,NPLOG,PL,LOC,DLOC,Executable Line of Code,CLOC,BL,NV,AM,NPRM,NPM,PM,LM,STMT,DSTMT,ESTMT,CCR,WMC,NOC,DIT,LCOM,CBO,RFC,NIV,questions
2018,11,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2018,12,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2019,1,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2019,2,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2019,3,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2019,4,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2019,5,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2019,6,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2019,7,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2019,8,1.0,0.021456067348482055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999986,1.0,0.9999999999999911,1.0,0.0,1.0,0.9999999999999954,0.9999999999999931,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8541666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
